content,is_completed,created_at
"다음 주 클라이언트 미팅 준비",false,2025-06-01T09:00:00
"새 프로젝트 제안서 작성 및 발송",false,2025-06-01T18:43:41
"포트폴리오 사이트 업데이트",false,2025-06-02T14:27:23
"월간 업무 보고서 제출",false,2025-06-03T10:11:04
"링크드인 프로필 최신화",false,2025-06-04T05:54:45
"새로운 기술 스택 학습 (예: AI, Svelte)",false,2025-06-05T01:38:27
"업무 자동화 스크립트 개선",false,2025-06-05T21:22:08
"밀린 이메일 20개 이상 처리하기",false,2025-06-06T17:05:50
"다음 분기 개인 목표(OKR) 설정",false,2025-06-07T12:49:31
"전문 분야 관련 아티클 1개 읽기",false,2025-06-08T08:33:12
"다음 목적지 항공권 검색 및 가격 비교",false,2025-06-09T04:16:54
"현재 숙소 예약 연장 또는 새 숙소 찾기",false,2025-06-10T00:00:35
"도착할 국가 비자/체류 기간 확인",false,2025-06-10T19:44:16
"현지 유심카드 또는 eSIM 구매/설정",false,2025-06-11T15:27:58
"여행자 보험 조건 확인 및 갱신",false,2025-06-12T11:11:39
"공항 픽업 교통편 예약",false,2025-06-13T06:55:20
"주요 관광지 및 코워킹 스페이스 리서치",false,2025-06-14T02:39:02
"현지 통화 환전 또는 ATM 위치 파악",false,2025-06-14T22:22:43
"비상 연락망 및 현지 대사관 정보 저장",false,2025-06-15T18:06:24
"가방 정리 및 불필요한 짐 덜어내기",false,2025-06-16T13:50:06
"동네 헬스장 또는 요가 스튜디오 알아보기",false,2025-06-17T09:33:47
"현지 맛집 탐방 리스트 만들기",false,2025-06-18T05:17:29
"가족/친구와 화상 통화 약속 잡기",false,2025-06-19T01:01:10
"일주일에 3번 이상 30분 운동하기",false,2025-06-19T20:44:51
"새로운 언어 학습 앱으로 15분 공부하기",false,2025-06-20T16:28:33
"디지털 디톡스 (2시간 동안 전자기기 사용 안 하기)",false,2025-06-21T12:12:14
"블로그에 여행/일상 기록 남기기",false,2025-06-22T07:55:55
"현지 문화 체험 활동 예약 (예: 쿠킹 클래스)",false,2025-06-23T03:39:37
"명상 또는 마음챙김 훈련 10분",false,2025-06-23T23:23:18
"건강검진 결과 확인 및 영양제 챙겨 먹기",false,2025-06-24T19:07:00
"월간 예산 정리 및 지출 내역 확인",false,2025-06-25T14:50:41
"클라이언트에게 인보이스 발행 및 수금 확인",false,2025-06-26T10:34:22
"세금 신고용 경비 및 영수증 정리",false,2025-06-27T06:18:04
"은행 앱에서 해외 결제 내역 확인",false,2025-06-28T02:01:45
"연간 재무 목표 설정 및 진행 상황 검토",false,2025-06-28T21:45:27
"구독 서비스(OTT, SaaS 등) 정리",false,2025-06-29T17:29:08
"국제 운전 면허증 유효기간 확인",false,2025-06-30T13:12:49
"여권 만료일 확인 및 갱신 계획",false,2025-07-01T08:56:31
"거주지 증명 관련 서류 스캔 및 백업",false,2025-07-02T04:40:12
"투자 포트폴리오 검토",false,2025-07-03T00:23:54
"현지 디지털 노마드 밋업(Meetup) 참여 신청",false,2025-07-03T20:07:35
"관심 있는 분야의 온라인 웨비나 등록",false,2025-07-04T15:51:16
"링크드인에서 동종 업계 전문가와 1촌 맺기",false,2025-07-05T11:34:58
"멘토에게 안부 연락 및 조언 구하기",false,2025-07-06T07:18:39
"사이드 프로젝트 아이디어 구체화하기",false,2025-07-07T03:02:20
"읽고 싶었던 전문 서적 구매 또는 다운로드",false,2025-07-07T18:00:00
"참여했던 프로젝트 회고 및 배운 점 정리",false,2025-07-07T18:00:00
"나만의 뉴스레터 주제 구상 및 초안 작성",false,2025-07-07T18:00:00
"온라인 포럼/커뮤니티에 질문 또는 답변 남기기",false,2025-07-07T18:00:00
"3개월 뒤 커리어 계획 세우기",false,2025-07-07T18:00:00
